Name,Default Value,Unit,Biomass,SA type,SA params,Range
co2c_ch4c_dig,9,kg CO2-C/kg CH4-C,dig,ND,"9,0","0,20"
co2c_ch4c_man,3,kg CO2-C/kg CH4-C,dig,ND,"3,0","0,20"
dew_c_fib,49.05,%,dig,BT,"2.0962296131767104,2.126062719357348,0,100","0,100"
dew_el,0.36,MJ/kg TWW,dig,TD,"0.2,0.57,0.36","0,5"
dew_k_fib,10.2,%,dig,BT,"5.090463889360777,44.84680645722004,0,100","0,100"
dew_n_fib,18.44,%,dig,BT,"2.267903375342375,9.573853437771145,0,100","0,100"
dew_p_fib,39.08,%,dig,BT,"1.609430665874991,2.335475557767697,0,100","0,100"
dew_ts_fib,44.82,%,dig,BT,"3.4726709578804122,4.199951611799696,0,100","0,100"
dew_tww_fib,14.12,%,dig,BT,"1.896467046629547,11.343363867435194,0,100","0,100"
dry_c_con,1,%,dig,UD,"0,1","0,10"
dry_n_con,26.422,%,dig,LD,"1.7,1.73","0,100"
n_leach,0.24,kg N leached/kg N,dig,ND,"0.24,0","0,1"
n_vol,0.21,kg N volatilized/kg N,dig,ND,"0.21,0","0,1"
n2o_dir,0.01,kg N2O-N/kg N,dig,ND,"0.01,0","0,0.1"
n2o_leach,0.011,kg N2O-N/kg leached N,dig,ND,"0.011,0","0,0.1"
n2o_vol,0.01,kg N2O-N/kg volatilized N,dig,ND,"0.01,0","0,0.1"
py_c_char,51.54,%,dig,ND,"51.54,11.6","0,100"
py_e_char,50,%,dig,ND,"50,0","0,100"
py_k_char,100,%,dig,UD,"90,100","0,100"
py_n_char,24,%,dig,ND,"24,8","0,100"
py_p_char,100,%,dig,UD,"90,100","0,100"
py_ts_char,41.64,%,dig,ND,"41.64,6.93","0,100"
ch4_ef_dig,2.67,g CH4/kg VS/ year,dig,ND,"2.67,0","0,10"
ch4_ef_d,72.83,g CH4/kg VS/ year,dig,ND,"72.83,0","0,300"
ch4_ef_nd,0.72,g CH4/kg VS/ year,dig,ND,"0.72,0","0,10"
nh3_ef,2,%N to NH3-N,dig,ND,"2,0","0,20"
straw_perc,0.2,percent as factor,dig,ND,"0.2,0","0,1"
bg_man_ch4,7.217145,MJ/kg VS,dig,ND,"7.217145,1.02369909653667","0,100"
bg_straw_ch4,7.8429375,MJ/kg VS,dig,ND,"7.8429375,0.174600144974167","0,100"
py_e_eff,0.7,factor,dig,ND,"0.7,0","0,1"
man_ts,0.0717649,kg/kg TWW,man,LD,"-2.667930369134241, 0.2798059989265664","0,1"
man_vs,0.938692308,kg/kg TS,man,ND,"0.938692307692308,0.0114846608960577","0,1"
man_e,15.25,MJ/kg TS,man,LD,"2.716741791803185, 0.12484196365148041","0,100"
man_c,0.412674167,kg/kg TS,man,LD,"-0.8932478975479868, 0.12649568493596894","0,1"
man_n,0.0507141,kg/kg TS,man,LD,"-2.994392873831523, 0.16226710375722575","0,1"
man_p,0.009232636,kg/kg TS,man,LD,"-4.709772527624069, 0.23801393632117251","0,1"
man_k,0.0349145,kg/kg TS,man,LD,"-3.362094638756658, 0.12056515322404317","0,1"
straw_c,45.64,%TS,straw,LD,"3.82034734938769,0.0278176287472967","0,100"
straw_e,17.93,MJ/kgTS,straw,LD,"2.88463739350015,0.0598192526387635","0,100"
straw_k,1.02,%TS,straw,LD,"-0.035251671208162,0.371140892683925","0,100"
straw_n,0.64,%TS,straw,LD,"-0.592076354464718,0.582265553619305","0,100"
straw_p,0.07,%TS,straw,LD,"-2.83292127593681,0.710729502548512","0,1"
straw_ts,912.1,kg/kg TWW,straw,LD,"6.81554326882668,0.0206146009455927","500,10000"
straw_vs,93.87,%TS,straw,ND,"93.8692307692308,1.14846608960577","0,100"
man_n_perc,0.75,ratio,price,ND,"0.75,0","0,1"
dig_n_perc,0.6,ratio,price,ND,"0.6,0","0,1"
fib_n_perc,0.4,ratio,price,ND,"0.4,0","0,1"
liq_n_perc,0.8,ratio,price,ND,"0.8,0","0,1"
straw_n_perc,0.4,ratio,price,ND,"0.4,0","0,1"
straw_price,6.4,EUR/GJ,price,TD,"5.3,7.2,6.4","0,500"
bc100,0.8,ratio,price,ND,"0.8,0","0,1"
dig100,0.19,ratio,price,ND,"0.19,0","0,1"
man100,0.12,ratio,price,ND,"0.12,0","0,1"
straw100,0.12,ratio,price,ND,"0.12,0","0,1"
dist_man,9.7,km,price,ND,"9.7,3.4","0,200"
dist_man_longer,11.9,km,price,ND,"11.9,4.2","0,1000"
dist_straw,16.2,km,price,ND,"16.2,5.7","0,1000"
dist_straw_longer,20,km,price,ND,"20,6.8","0,200"
baling,0.020438832,EUR/kg,price,ND,"0.0204388316636094,0.00684066788441488","0,1"
spreading,1.876675603,EUR/m3,price,ND,"1.87667560321716,0","0,10"
man_trans,0.000134048,EUR/km/kg,price,ND,"0.000134048257372654,0","0,0.005"
straw_trans,0.000206865,EUR/km/kg,price,ND,"0.000206864594710886,0","0,0.005"
el_price,0.064343164,EUR/kWh,price,ND,"0.064343164,0.0096514746","0,2"
natgas,0.010888889,EUR/MJ,price,ND,"0.0108888888888889,0.00272222222222222","0,0.1"
n,1.340482574,EUR/kg N,price,ND,"1.340482574,0.0670241287","0,10"
p,2.144772118,EUR/kg P,price,ND,"2.144772118,0.2144772118","0,10"
k,1.072386059,EUR/kg K,price,ND,"1.072386059,0.03217158177","0,10"
co2_vcm,0.15,EUR/kg CO2e,price,ND,"0.15,0.025","0,1"
co2_ag,0.100536193,EUR/kg CO2e,price,ND,"0.100536193029491,0","0,1"
co2_red,0.15,EUR/kg CO2e,price,ND,"0.15,0.025","0,1"
co2_dk_methane_ef,75.1,g CO2/MJ,price,ND,"75.1,0","0,1000"
co2_dk_methane_price,0.208,EUR/MJ,price,ND,"0.208,0","0,1"
co2_biochar,0.267,EUR/kg CO2e,price,ND,"0.267,0","0,1"
red_mandate,0.25,factor,price,ND,"0.25,0","0,1"
man_red_ef,-102,g CO2e/MJ biomethane,price,ND,"-102,0","-1000,500"
straw_red_ef,12.3,g CO2e/MJ biomethane,price,ND,"12.3,0","-1000,500"
rate_bg,0.1,percent as factor,price,ND,"0.1,0","0,1"
rate_py,0.1,percent as factor,price,ND,"0.1,0","0,1"
bg_cap,0.6,M ton biomass input/year,price,ND,"0.6,0","0,5"
bg_lifetime,20,years,price,ND,"20,0","10,30"
bg_investment,25,M EUR biogas+upgrading plant at 0.6 Mt biomass input per year,price,ND,"25,0","0,1000"
bg_heat,0.12,MJ to upgrading/MJ biomethane out,price,ND,"0.12,0","0,1"
bg_el,0.039139334,MJ el/MJ biomethane out,price,ND,"0.039139334,0","0,1"
bg_opex,0.004423592,"staff, service, maintanence, utilities, EUR/kWh out",price,ND,"0.004423592,0","0,0.1"
py_lifetime,25,years,price,ND,"25,0","0,100"
py_investment,1,M EUR/MW input,price,ND,"1,0","0,100"
py_opex,0.05,factor on capex,price,ND,"0.05,0","0,1"
py_el,0.05,factor on energy input,price,ND,"0.05,0","0,1"
